orgpermid,year,cusip,isin,sedol,ticker,siccode,naicscode,comname,fieldid,hierarchy,pillar,fieldname,valuedate,value,valuescore,currency
4295908720,2025,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,A-,0.79921534270000005,
4295905573,2025,37833100,US0378331005,2046251,AAPL,3571,,APPLE INC.,2,Score,ESG Scores,ESGCombinedScore,46046,C,0.36259547349999999,
4295903017,2025,,IE00B4BNMY34,B4BNMY3,ACN,7389,,ACCENTURE PUBLIC LIMITED COMPANY,2,Score,ESG Scores,ESGCombinedScore,46046,A-,0.82990513590000003,
4295903393,2025,32654105,US0326541051,2032067,ADI,3674,,"ANALOG DEVICES, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,B+,0.68882300019999998,
5040695412,2025,,AU0000192833,BP2RQ94,ADI,,,Dexus Industria REIT,2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.55402601549999997,
4295903514,2025,53015103,US0530151036,2065308,ADP,7374,,"AUTOMATIC DATA PROCESSING, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,A-,0.75139839529999997,
4295905642,2025,52769106,US0527691069,2065159,ADSK,7372,,"AUTODESK, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.53987144590000002,
4295857388,2025,,AU000000ALL7,6253983,ALL,,,ARISTOCRAT LEISURE LIMITED,2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.50571125880000001,
4295905583,2025,38222105,US0382221051,2046552,AMAT,,,"APPLIED MATERIALS, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,A-,0.79566377150000001,
5064691048,2025,,JE00BJ1F3079,BJ1F307,AMCR,3990,,AMCOR PLC,2,Score,ESG Scores,ESGCombinedScore,46046,C+,0.42106752019999999,
5067840927,2025,,MYL5293OO005,BKRQ635,AME,,,AME ELITE CONSORTIUM BERHAD,2,Score,ESG Scores,ESGCombinedScore,46046,B,0.59263046249999995,
5050702133,2025,,AU000000APA1,6247306,APA,,,APA Group,2,Score,ESG Scores,ESGCombinedScore,46046,B+,0.66718829430000004,
4295903294,2025,9158106,US0091581068,2011602,APD,2810,,"AIR PRODUCTS AND CHEMICALS, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,B+,0.73450520279999998,
4295903484,2025,49560105,US0495601058,2315359,ATO,4924,,ATMOS ENERGY CORPORATION,2,Score,ESG Scores,ESGCombinedScore,46046,C,0.35370464579999999,
4295903490,2025,53332102,US0533321024,2065955,AZO,5531,,"AUTOZONE, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,B,0.59699362680000001,
4295903533,2025,75887109,US0758871091,2087807,BDX,3841,,"BECTON, DICKINSON AND COMPANY",2,Score,ESG Scores,ESGCombinedScore,46046,C+,0.47090505399999999,
4295856945,2025,,AU000000BEN6,6091280,BEN,,,BENDIGO AND ADELAIDE BANK LIMITED,2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.51066274349999996,
4295904023,2025,354613101,US3546131018,2350684,BEN,6282,,"FRANKLIN RESOURCES, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,C+,0.4693872416,
4295895967,2025,,GB0033147751,3314775,BMY,,,BLOOMSBURY PUBLISHING PLC,2,Score,ESG Scores,ESGCombinedScore,46046,B,0.62584573109999997,
4295902623,2025,11133T103,US11133T1034,B1VP7R6,BR,7389,,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,B+,0.70747365969999998,
4295903775,2025,205887102,US2058871029,2215460,CAG,20,,"CONAGRA BRANDS, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,C+,0.4504144725,
4295903651,2025,14149Y108,US14149Y1082,2175672,CAH,5122,,"CARDINAL HEALTH, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,B,0.61324081909999995,
